Country,Region,M_Age0to14,M_Age15to24,M_Age25to34,M_Age35to44,M_Age45to54,M_Age55to64,M_Age65Plus,F_Age0to14,F_Age15to24,F_Age25to34,F_Age35to44,F_Age45to54,F_Age55to64,F_Age65Plus,TotalPopAffected
TLS,SEA,4396070,2170366,1427157,1033064,750639,517921,483583,4095257,2098167,1402112,978356,697145,508954,516823,21075615
TON,WPR,850711,433368,274234,195346,151599,110458,102110,781387,410225,283051,209753,161191,114597,115068,4193116
TTO,AMR,7381330,4947296,4717053,3809448,2837211,1910357,1445203,7145363,4833121,4703442,3883805,3000725,2133818,1955959,54704131
TUN,EMR,61827230,38403197,31812761,24511570,18228855,12379248,10904903,58198570,37495221,32595860,25298642,18970575,13101947,12380012,396108595
TUR,EUR,408071925,252696333,217288591,171606159,125654910,81336762,65092389,388676964,240269360,208508925,166528697,124786103,87518724,88871809,2626907639
TUV,WPR,71618,35771,27880,22067,18080,12658,8903,65592,33152,28831,23970,20301,14949,13080,396889
TZA,AFR,339254371,141589597,98410782,67885636,42992414,27162872,20156668,335943729,148574571,106290950,68758519,44512017,29083189,23552764,1494168119
UGA,AFR,255859442,107400914,66260274,39130500,22966937,13138445,9053297,256070656,109183494,68941222,42423699,26837629,16615907,12327277,1046209698
UKR,EUR,183381152,139142499,146791263,134572741,123535699,98927764,89403873,175172112,134336057,147019404,143217110,142784483,136239607,188644488,1983168198
URY,AMR,16193711,10481859,9307383,8299623,7321661,6038840,6785302,15506068,10154507,9270376,8473528,7666265,6747965,10496877,132743936
USA,AMR,1217382697,856165660,861285746,805050383,708116838,571995448,635974320,1161794746,820467001,854364096,817832403,727260883,609390198,852508729,11499589207
UZB,EUR,178476633,102957478,82210391,57900645,40967998,25574573,17586863,168978855,98739646,80494883,58269707,43251096,29621116,26744863,1011774763
VCT,AMR,735651,457897,351772,264247,199161,144152,156969,708819,434507,328718,241248,183384,140472,187423,4534429
VEN,AMR,166892172,94858421,76543278,58803928,42659996,27968533,22657524,159272738,91895230,76555590,60234029,44701839,30407619,27919029,981369962
VGB,AMR,102712,64740,74188,74189,55481,33736,25890,99789,66534,76944,74890,53855,32207,25912,861043
VNM,WPR,493345305,297166630,255677647,194632146,138060180,92407878,79075010,467190647,294859313,260122111,203269412,153082630,110084001,121687266,3160660187
VUT,WPR,1781673,789092,585189,410943,273791,175227,162560,1646682,798358,616259,409149,266137,157088,139677,8211898
WLF,WPR,98678,47933,31692,29851,25123,19792,17215,92328,48600,36314,32549,26793,19739,18918,545500
WSM,WPR,1594256,796041,521284,380823,280156,188347,147639,1464782,710267,481129,357772,265062,181138,171162,7539855
YEM,EMR,186210561,83993072,54309604,32664345,20285639,12601750,9426352,177851957,81014194,53148976,32700912,21264051,14178949,12560096,792210484
ZAF,AFR,316570259,187249753,154206136,105674992,69170743,39393976,31473072,307388990,184642321,157061009,117350017,86597972,57460176,54168703,1868408117
ZMB,AFR,104521385,45751524,30408466,17923234,9705755,5241612,3829421,105518314,46798657,31917753,19943171,11906719,7048239,5491578,446005822
ZWE,AFR,103572120,47923178,30456650,18352334,10819590,7432076,6341188,105726657,54418171,36700394,21035693,12827939,9050745,8340987,472997751
